path,why-relevant,confidence,type,in-repo-only
C:\Users\Mubarak\Desktop\QMX\workroom\research\2026-09-15_unbounded-market-intelligence\OPERATING_LINE.md,Session operating truth for this recovery run (MIS consumers; SQS=Spread Quality Sensor; V1 labelers; regime_classifier_v1 design story; physics not the centre),high,operating-note,yes
C:\Users\Mubarak\Desktop\QMX\docs\glossary.md,Ratified definitions: MIS eight-labeler catalog (DEC-0262); signal snapshot; shadow-lane seam; SQS + SQS baseline; candidate labeler; session_handover_buffer (not literal changeover),high,ratified-glossary,yes
C:\Users\Mubarak\Desktop\QMX\docs\changelog.md,DEC-0262 veto-round: eight labelers named; Kronos/HMM/BOCPD/MS-GARCH unauthorized; MIS training last node epic; GAP-0051 catalog note,high,ratified-changelog,yes
C:\Users\Mubarak\Desktop\QMX\docs\gap-report.md,GAP-0051 MIS training/shadow deferred; GAP-0043 SQS V1 ratio formula; GAP-0042 protection windows incl. session_handover_buffer; DEC-0073 dead Snapshot Quality reading of SQS,high,ratified-gaps,yes
C:\Users\Mubarak\Desktop\QMX\docs\components\trading-node.md,TN-19 MIS seam: compute-once signal snapshot; Book door+KSA only; shadow_composition_fp; SQS inside snapshot only; no trained model in V1,high,ratified-component,yes
C:\Users\Mubarak\Desktop\QMX\docs\decisions\ADR-0019-trading-node.md,MIS training last epic; labeler catalog restated; recovered candidates unauthorized,high,ratified-adr,yes
C:\Users\Mubarak\Desktop\QMX\docs\constitution.md,L23 SQS=Spread Quality Sensor distinct from news,high,ratified-constitution,yes
C:\Users\Mubarak\Desktop\QMX\docs\AGENTS.md,Ratified node content pointer; GAP-0051 deferred; DEC-0262 placement/MIS catalog,high,ratified-agents,yes
C:\Users\Mubarak\Desktop\QMX\docs\contracts\ct-31-control-window.yaml,News / daily_dead_zone / session_handover_buffer window kinds (calendar changeover analogue),high,ratified-contract,yes
C:\Users\Mubarak\Desktop\QMX\docs\registry\variables.yaml,session_handover_buffer_width/anchor; SQS-related registry rows referenced by risk/node,high,ratified-registry,yes
C:\Users\Mubarak\Desktop\QMX\workroom\research\08-mis-ml-regime-models.md,Prior-art survey: five regime families; look-ahead trap; LightGBM footprint; shadow promotion_state; MarketView draft; risk-filter not alpha,high,research-prior-art,yes
