finding_id,source,epic_or_package,requirement_ids,severity,status,file_refs,description,proving_test
QMX-F001,lane-L6,E10 qmf-risk,10.8-AC1;CT-30;L39;P0-9;FR-033,critical,CONFIRMED,"packages/qmf-risk/src/qmf/risk/control_action.py:215,347",check_exit_preservation has no caller anywhere in packages/qmf-risk/src. The exit-preservation invariant is enforced nowhere: it is an exported advisory helper that any control path may simply decline to consult. Every P0-9 assertion in the epic calls that orphan against its own lookup table.,TO-BE-WRITTEN qa/tests/epic_10/test_h_control_action.py::place a control in force and assert each of the six RiskReducingActs survives
QMX-F002,lane-L6,E10 qmf-risk,10.8-AC1;CT-24-AC2;L39;P0-9,critical,CONFIRMED,packages/qmf-risk/src/qmf/risk/paper.py:435; packages/qmf-risk/src/qmf/risk/door.py:770,"resolve_execution_target withholds acts under an active blocks-paper control but its signature is act-blind (book_mode, seat_state, active_controls, live_target, paper_target) with no intent-family parameter, so it cannot distinguish an exit from an entry. ExitIntent carries no execution_target unlike EntryIntent. Either exits route here and are blocked (a live L39 violation) or exits resolve no target at all (a CT-24 AC2 gap). No test asks.",TO-BE-WRITTEN qa/tests/epic_10::exit intent under a BLOCKS_PAPER control must not be withheld
QMX-F003,lane-L6,E23 qmb/data,23.3-AC5;B-7;B-2;FM-3;DEC-0164;R-008,critical,CONFIRMED,"qmb/src/qmb/data/generate.py:592-602,1851-1876; qmb/src/qmb/doors/cli/tree.py:511","resolve_generator_config merges a nested generator_config body carrying forward only destination, output_root, calendar and source_series, then runs _refuse_replay_clock_on_synthetic against the merged body from which the outer clock and world have already been dropped. The flat guard fires correctly; the nested path evades it. Reachable from the shipped operator CLI door, not only from an in-process caller.",qa/tests/epic_23 T23-PIN-03 (already FAILING)
QMX-F004,lane-L6,E18 qmb/data,18.1-AC3;RQ5;RQ6;RQ7;AR-46;CT-01;CT-10;AR-15,critical,CONFIRMED,qmb/src/qmb/data/download.py:307; packages/qmf-data/src/qmf/data/ingest.py:201-217,download builds a CT-15 TickQuote from bid/ask then submits only the bare SourceObservation (foreign_money=None) and discards the quote. No bid/ask money path reaches the raw archive and the persisted CT-10 source observation carries no scaled-integer money after a download-once acquisition. Lane rows E18-F03 and E18-F04 are the same root at two levels and are merged here.,qa/tests/epic_18 (already FAILING at both levels)
QMX-F005,lane-L6,E12 qml,FR-048;12.7-AC1;CT-33:44;CT-33:67;AR-64;ADR-0018,high,CONFIRMED,"qml/src/qml/declaration/bot.py:662; qml/src/qml/__init__.py:93,284; qml/examples/conformant_bot_usage.py:230-258","register_bot_definition stamps and persists a CT-33 Bot-kind record through an injected Registrar and consults no Layer-1 verdict, no Layer-2 verdict and no ConformanceTicket (grep for ticket/Layer1Verdict/Layer2Verdict/conformance over declaration/bot.py returns nothing). It is exported from top-level qml, and the shipped reference example drives it with candidate.declaration, never the ticket. Lane row E12-F01 recorded the opposite (mint is defined-unwired, no in-package surface); L6 adjudicated that observed column as wrong.",TO-BE-WRITTEN qa/tests/epic_12::drive register_bot_definition with a test-owned Registrar sink after a failing Layer-2 verdict and observe the sink
QMX-F006,lane-L6,E3 qmf-data,FR-012;CT-12;CT-11:25;3.4-AC4;P0-6;R-012;L19;SCN-0003,high,CONFIRMED,packages/qmf-data/src/qmf/data/store/append_store.py (read_raw); store/ (read_view); store/backup_input.py:97 (read_room); rooms.py:303-308,"The seal on read_raw, read_view and BackupInput.read_room consults only the caller-supplied at, so a caller that under-states its position reads sealed-period content. resolve_series derives its position from the resolved evidence precisely because a caller-supplied position is bypassable; the other three paths have no such derivation. Three passing assertions in the suite return sealed-period evidence and record that as correct.",TO-BE-WRITTEN qa/tests/epic_03::archive sealed-period rows and read at an under-stated position on every real read entry point
QMX-F007,lane-L6,E6 qmf-data ingest,R-007;CT-15;FR-017;6.3-AC1;DEC-0109,high,CONFIRMED,packages/qmf-data/src/qmf/data/dukascopy.py:605,"DukascopyAdapter.fetch calls self._transport.fetch_hour(key) bare with no try/except, so a transport-raised third-party exception propagates instead of being returned as a typed refusal. CT-15 states the invariant verbatim: boundary failures are returned, never raised across the boundary.",qa/tests/epic_06 test_l1_002_dukascopy_transport_raise_* (already FAILING)
QMX-F008,lane-L6,E6 qmf-data ingest,R-007;CT-15;FR-018;6.4-AC1;SCN-0008;DEC-0109,high,CONFIRMED,packages/qmf-data/src/qmf/data/calendar_feed.py:564,"CalendarFeedImport routes a RETURNED refusal into the fail-closed data-quality journal plus alarm; a RAISED transport exception at calendar_feed.py:564 bypasses that path entirely, so a transport-level outage produces no journal entry and no alarm. Worse consequence than F007 for the same root cause.",qa/tests/epic_06 test_l1_002_calendar_transport_raise_* (already FAILING)
QMX-F009,lane-L6,E6 qmf-data ingest,R-007;CT-15;FR-015;6.1-AC5;DEC-0109,medium,CONFIRMED,packages/qmf-data/src/qmf/data/ingest.py:445,"ExternalSourceIngest.fetch_and_intake calls self._port.fetch(request) with no try/except, so a provider port that raises propagates out of the ingest boundary. Same defect family as F007/F008; kept as a distinct row only because the remediation site differs.",qa/tests/epic_06 test_l1_002_ingest_over_raising_port_* (already FAILING)
QMX-F010,lane-L6,E15 qmb/orchestrator,FR-045;AR-51;B-4;B-5;R13;R-010,high,CONFIRMED,"qmb/src/qmb/orchestrator/spawn.py:197,255,283","spawn_governed and spawn_concurrent both return Result[tuple[IsolatedRun, ...]] and take no ledger parameter, so no ledger line can be minted through them. On a start failure spawn_concurrent calls _reap_live(live), killing already-started siblings and returning the refusal with zero ledger accounting for the reaped runs. A spawned run that is killed and never ledgered is a live hole in the never-zero half of the exactly-one-ledger-line law. The lane filed it as UNPROVEN at severity medium because Epic 15 offers no door to drive the assertion; the code fact itself is confirmed.",TO-BE-WRITTEN qa/tests/epic_15::partial spawn failure ledgers one line per already-started run
