finding_id,epic,requirement_ids,severity,test_path,description,expected,observed
E18-F01,18,RQ-CLOCK,HIGH,qa/tests/epic_18/test_e18_l0_static.py::test_t18_0a_no_ambient_system_clock_read,"FIND-001: download.py:127 reads the ambient datetime.now(timezone.utc) below the composition root; AR-16/DEC-0106 forbid any qmb/data module reading a system clock","static AST scan of qmb/src/qmb/data finds no ambient clock read (.now/.utcnow/.today/time.time/perf_counter/monotonic)","scan found download.py:127 .now( — an ambient wall-clock read is present"
E18-F02,18,RQ-CLOCK;RQ2,HIGH,qa/tests/epic_18/test_e18_l1_properties.py::test_t18_p1_download_threads_injected_clock_FIND001,"Same root as E18-F01: parse_download_request/download never thread an injected clock into resolve_end_ns, so end-defaults-to-today tracks the real wall clock; the 18.1-AC2 reproducible window is not reproducible (resolve_end_ns DOES accept now= but the wiring never passes it)","with a clock injected, end_ns == next-midnight of the injected clock (reproducible window)","end_ns tracked the real system date (1787875200000000000) not the injected 2021-01-01 (1609545600000000000)"
E18-F03,18,RQ5;RQ6;RQ7,CRITICAL,qa/tests/epic_18/test_e18_l2_download.py::test_t18_1f_bid_and_ask_preserved_in_ct10_evidence_FINDING,"download builds a CT-15 TickQuote from bid/ask then submits only the bare SourceObservation (foreign_money=None) and DISCARDS the quote; AR-46/CT-01 require bid+ask scaled integers persisted as CT-10 evidence and retained","persisted CT-10 observations carry recoverable bid/ask (or foreign_money) scaled integers","every persisted raw row carried only the bitemporal envelope (event_time_ns,known_at_ns,source,source_native_id,revision,writer,sequence,world,fingerprint,format_version,receive_wall_time_ns) — no price anywhere"
E18-F04,18,RQ6;RQ7,CRITICAL,qa/tests/epic_18/test_e18_l3_contract.py::test_t18_1h_ct10_row_carries_money_path_FINDING,"Same root as E18-F03: the persisted CT-10 source observation carries no foreign_money money-path after a download-once acquisition; the scaled-integer prices computed by CT-15 intake are dropped, so a governed reader recovers timestamps with no prices","at least one persisted CT-10 observation carries a scaled-integer foreign_money price","no persisted observation contained foreign_money"
E18-F05,18,RQ1,LOW,qa/tests/epic_18/test_e18_l2_download.py::test_t18_1a_no_qmb_authored_second_data_layer_FINDING,"download writes a durable .qmb_intake_keys.jsonl dedup ledger via qmb.orchestrator.paths (outside the qmf.data contracts), although the content-addressed CT-10 store already makes re-admits idempotent; B-11 says qmb mints no second data layer","no qmb-authored persistence artifact outside qmf.data (CT-10 content-addressing already dedups re-admits)","a .qmb_intake_keys.jsonl file is written into the destination root by qmb.data.download on every produced intake"
E18-U01,18,RQ12,DEFERRED,qa/tests/epic_18/test_e18_l2_download.py::test_t18_1l_read_commands_hold_no_provider_port,"RQ12 run-side (a run that attempts a provider fetch is a policy rejection) fires in the run loop owned by Epic 14; only the data-command half is Epic 18's and is proven green (list/verify/gap-check hold no provider port; download is the sole provider surface)","run-loop provider-fetch attempt returns a policy rejection","UNPROVEN in Epic 18 — owned by Epic 14; data-command half proven green"
E18-U02,18,RQ17,DEFERRED,qa/tests/epic_18/test_e18_l3_contract.py::test_t18_2e_passing_tag_rides_into_ct07_lineage_gate_writes_nothing,"the downstream ride of the entitlement into a run's CT-32/ledger citation is minted by Epics 14/19; Epic 18 proves only that the gate produces a CT-07 lineage-ready edge and writes nothing","license tag + granting authority ride into a citing artifact's CT-07 lineage","UNPROVEN in Epic 18 — downstream half owned by Epics 14/19; gate side (edge produced, nothing written) proven green"
E18-U03,18,RQ26;RQ32,DEFERRED,qa/tests/epic_18/test_e18_l2_gapcheck.py::test_t18_5e_fill_request_is_policy_rejection,"synthetic-fill CONTENT is world=simulated / Epic 23 territory (GAP-0048); Epic 18 proves only the refuse-to-fill seams (verify and gap-check report holes, never write fill)","a filled series is a world=simulated policy rejection until GAP-0048","UNPROVEN in Epic 18 — fill content owned by Epic 23/GAP-0048; refuse-to-fill seams proven green"
E18-U04,18,RQ10,DEFERRED,qa/tests/epic_18/test_e18_l2_download.py::test_t18_1k_progress_emitted_to_injected_sink,"the transport of progress events to a real supervising-agent channel is an Epic 15/16 door/orchestrator concern; Epic 18 proves emission + shape to an injected sink","machine-observable progress reaches a real supervising-agent channel","UNPROVEN in Epic 18 — real channel owned by Epic 15/16; emission+shape to an injected sink proven green"
E18-U05,18,PLAN-INTEGRITY,INFO,qa/epics/epic_18_qmb-data-management/PLAN.md,"named test authorities are absent from the worktree: _bmad-output/test-artifacts/test-design-qa.md (L0-L6 taxonomy + Per-Epic template) and _bmad-output/test-artifacts/test-design/QMX-handoff.md (the 15 P0/P1 assertions + risk-gate rows); the taxonomy, tier scope, R-007/R-011 and FIND-001 were taken from the task brief and reconstructed from sibling PLANs","the two named authorities exist and are reconciled against the plan (PLAN section 1/7.8)","both files absent (confirmed by full-tree search); taxonomy + gates reconstructed"
